TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
;;;ProductRHS;FRPIMHybrisLocator;hybris_product_cockpit_media_and_digital_image_public_folders_Country_Brand_Product_SubCategory_FirstListItem;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Images to appear;;;;
;;;ProductRHS;FRPIMHybrisLocator;hybris_product_cockpit_media_and_digital_image_public_folders_Country_Brand_Product_SubCategory_FirstListItem;CLICK;;;Select Image;;;;
;;;DMIOnlineSync;Home;Image_Done;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Done Button;;;;
;;;DMIOnlineSync;Home;Image_Done;CLICK;;;Click Done Button;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;HybrisGerman;HomeMiddlePane;Image_Loading_Indicator;WAITTILLOBJAVAILABLE;$HybrisGermanEnv.MaxWait.Field2;;Wait till Loading Indicator;;;;
;;;DMIOnlineSync;Home;General_Product_Information;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for General Product Information;;;;
;;;DMIOnlineSync;Home;General_Product_Information;RIGHTMOUSECLICK;;;Right Click on General Product Information;;;;
;;;DMIOnlineSync;Home;Expand_All_Tabs;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Expand All ;;;;
;;;DMIOnlineSync;Home;Expand_All_Tabs;CLICK;;;Click on Expand All ;;ON ERROR EXIT SCENARIO;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Product_Name;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Product Name;;;;
;;;DMIOnlineSync;Home;Product_Name;CLEARFIELD;;;Clearing Product Name;;;;
;;;DMIOnlineSync;Home;Product_Name;ENTER;Automation_ProductName;;Enter Product Name;;;;
;;;Q2DMISanity;RightPane;General_Product_Information_VariantProductName;CLICK;;;Click on Variant Label;;IGNORE REPORT;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;RightPane;CAVariantProductName;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;CAVariantProductName Wait;;;;
;;;DMIOnlineSync;RightPane;CAVariantProductName;ENTER;AutmationTest;;Enter VariantProductName;;;;
;;;DMIOnlineSync;RightPane;CAMarketingInfoResults;ENTER;AutmationTest;;Enter MarketingInfoResults;;;;
;;;DMIOnlineSync;RightPane;CAActiveIngredientsText;ENTER;AutmationTest;;Enter ActiveIngredientsText;;;;
;;;DMIOnlineSync;RightPane;CAFullIngredientImg;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;CAFullIngredientImg Explicit Wait;;;;
;;;DMIOnlineSync;RightPane;CAFullIngredientImg;CLICK;;;CAFullIngredientImg;;;;
;;;DMIOnlineSync;RightPane;CAAdvSearchBtn;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Expand All ;;;;
;;;DMIOnlineSync;RightPane;CAAdvSearchBtn;CLICK;;;CAAdvSearchBtn;;;;
;;;DMIOnlineSync;RightPane;CASelectRow;CLICK;;;CASelectRow;;;;
;;;DMIOnlineSync;RightPane;CADoneBtn;CLICK;;;CADoneBtn;;;;
;;;DMIOnlineSync;RightPane;CAFILTextBox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Expand All ;;;;
;;;DMIOnlineSync;RightPane;CAFILTextBox;ENTER;AutomationTest1;;CAFILTextBox;;;;
;;;DMIOnlineSync;RightPane;CAAmazonBulletFeature1;CLEARFIELD;;;CAAmazonBulletFeature1 ClearField;;;;
